API Typ,tadir_object,tadir_obj_name,object_type,object_key,software_component,application_component,state,successor_classification,successor_concept_name,successor_tadir_object,successor_tadir_obj_name,successor_object_type,successor_object_name,api_catalog
TIER1,CHKV,SAP_CLOUD_PLATFORM_ATC_DEFAULT,CHKV,SAP_CLOUD_PLATFORM_ATC_DEFAULT,SAP_BASIS,BC-ABA-LA,DEPRECATED,1,,CHKV,ABAP_CLOUD_DEVELOPMENT_DEFAULT,CHKV,ABAP_CLOUD_DEVELOPMENT_DEFAULT
TIER1,CHKV,SAP_CP_READINESS,CHKV,SAP_CP_READINESS,SAP_BASIS,BC-DWB-TOO-ATF,DEPRECATED,1,,CHKV,ABAP_CLOUD_READINESS,CHKV,ABAP_CLOUD_READINESS
TIER1,CLAS,CL_A4C_BC_FACTORY,CLAS,CL_A4C_BC_FACTORY,SAP_CLOUD,BC-CP-ABA-SC,DEPRECATED,N,,CLAS,CL_BCFG_CD_REUSE_API_FACTORY,CLAS,CL_BCFG_CD_REUSE_API_FACTORY
TIER1,CLAS,CL_A4C_BC_FACTORY,CLAS,CL_A4C_BC_FACTORY,SAP_CLOUD,BC-CP-ABA-SC,DEPRECATED,N,,CLAS,XCO_CP_CTS,CLAS,XCO_CP_CTS
TIER1,CLAS,CL_AUNIT_ASSERT,CLAS,CL_AUNIT_ASSERT,SAP_BASIS,BC-DWB-TOO-UT,DEPRECATED,1,,CLAS,CL_ABAP_UNIT_ASSERT,CLAS,CL_ABAP_UNIT_ASSERT
TIER1,CLAS,CL_BAL_LOGGING,CLAS,CL_BAL_LOGGING,SAP_BASIS,BC-SRV-BAL,DEPRECATED,N,,CLAS,CL_BALI_LOG,CLAS,CL_BALI_LOG
TIER1,CLAS,CL_BAL_LOGGING,CLAS,CL_BAL_LOGGING,SAP_BASIS,BC-SRV-BAL,DEPRECATED,N,,CLAS,CL_BALI_LOG_DB,CLAS,CL_BALI_LOG_DB
TIER1,CLAS,CL_CMIS_CLIENT_FACTORY,CLAS,CL_CMIS_CLIENT_FACTORY,SAP_BASIS,BC-SRV-MCM-SER,DEPRECATED,1,,CLAS,CL_CMIS_CLIENT_FACTORY2,CLAS,CL_CMIS_CLIENT_FACTORY2
TIER1,CLAS,CL_NUMBER_RANGE_INTERVALS,CLAS,CL_NUMBER_RANGE_INTERVALS,SAP_BASIS,BC-SRV-NUM,DEPRECATED,1,,CLAS,CL_NUMBERRANGE_INTERVALS,CLAS,CL_NUMBERRANGE_INTERVALS
TIER1,CLAS,CL_NUMBER_RANGE_OBJECTS,CLAS,CL_NUMBER_RANGE_OBJECTS,SAP_BASIS,BC-SRV-NUM,DEPRECATED,1,,CLAS,CL_NUMBERRANGE_OBJECTS,CLAS,CL_NUMBERRANGE_OBJECTS
TIER1,CLAS,CL_NUMBER_RANGE_RUNTIME,CLAS,CL_NUMBER_RANGE_RUNTIME,SAP_BASIS,BC-SRV-NUM,DEPRECATED,1,,CLAS,CL_NUMBERRANGE_RUNTIME,CLAS,CL_NUMBERRANGE_RUNTIME
TIER1,CLAS,CL_SCAL_API,CLAS,CL_SCAL_API,SAP_BASIS,BC-SRV-ASF-CAL,DEPRECATED,N,,CLAS,CL_FHC_CALENDAR_RUNTIME,CLAS,CL_FHC_CALENDAR_RUNTIME
TIER1,CLAS,CL_SCAL_API,CLAS,CL_SCAL_API,SAP_BASIS,BC-SRV-ASF-CAL,DEPRECATED,N,,DDLS,I_PUBLICHOLIDAYCALENDARBASIC,CDS_STOB,I_PUBLICHOLIDAYCALENDARBASIC
TIER1,CLAS,CL_SCAL_API,CLAS,CL_SCAL_API,SAP_BASIS,BC-SRV-ASF-CAL,DEPRECATED,N,,DDLS,I_FACTORYCALENDARBASIC,CDS_STOB,I_FACTORYCALENDARBASIC
TIER1,CLAS,CX_A4C_RAP_QUERY_PROVIDER,CLAS,CX_A4C_RAP_QUERY_PROVIDER,SAP_CLOUD,BC-CP-ABA-SC,DEPRECATED,1,,CLAS,CX_RAP_QUERY_PROVIDER,CLAS,CX_RAP_QUERY_PROVIDER
TIER1,CLAS,CX_BAL_EXCEPTION,CLAS,CX_BAL_EXCEPTION,SAP_BASIS,BC-SRV-BAL,DEPRECATED,1,,CLAS,CX_BALI_RUNTIME,CLAS,CX_BALI_RUNTIME
TIER1,CLAS,CX_COMMCONNECTION,CLAS,CX_COMMCONNECTION,SAP_BASIS,BC-MID-RFC,DEPRECATED,1,,CLAS,CX_APPDESTINATION,CLAS,CX_APPDESTINATION
TIER1,DDLS,C_SWF_SWD_C1_RELEASED_UT,CDS_STOB,C_SWF_SWD_C1_RELEASED_UT,SAP_BASIS,BC-BMT-WFM,DEPRECATED,X,None - Unit Test Objects only
TIER1,DDLS,I_APISFORSAPCOUDPLATFORM,CDS_STOB,I_APISFORSAPCLOUDPLATFORM,SAP_BASIS,BC-SRV-APS-EXT-REL,DEPRECATED,1,,DDLS,I_APISFORCLOUDDEVELOPMENT,CDS_STOB,I_APISFORCLOUDDEVELOPMENT
TIER1,DDLS,I_BUSINESSUSER,CDS_STOB,I_BUSINESSUSER,SAP_BASIS,BC-SRV-BUM,DEPRECATED,1,,DDLS,I_BUSINESSUSERBASIC,CDS_STOB,I_BUSINESSUSERBASIC
TIER1,DOMA,CHAR001,DOMA,CHAR001,SAP_BASIS,BC-DWB-DIC-AC,DEPRECATED,0,
TIER1,DOMA,CHAR010,DOMA,CHAR010,SAP_BASIS,BC-DWB-DIC-AC,DEPRECATED,0,
TIER1,DOMA,CHAR02,DOMA,CHAR02,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR03,DOMA,CHAR03,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR08,DOMA,CHAR08,SAP_BASIS,BC-ABA-LA,DEPRECATED,0,
TIER1,DOMA,CHAR10,DOMA,CHAR10,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR100,DOMA,CHAR100,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR11,DOMA,CHAR11,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR116,DOMA,CHAR116,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR12,DOMA,CHAR12,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR120,DOMA,CHAR120,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR123,DOMA,CHAR123,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR128,DOMA,CHAR128,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR13,DOMA,CHAR13,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR134,DOMA,CHAR134,SAP_BASIS,BC-DOC-HLP,DEPRECATED,0,
TIER1,DOMA,CHAR14,DOMA,CHAR14,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR140,DOMA,CHAR140,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR15,DOMA,CHAR15,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR150,DOMA,CHAR150,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR16,DOMA,CHAR16,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR17,DOMA,CHAR17,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR18,DOMA,CHAR18,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR180,DOMA,CHAR180,SAP_BASIS,BC-BMT-OM,DEPRECATED,0,
TIER1,DOMA,CHAR19,DOMA,CHAR19,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR1_X,DOMA,CHAR1_X,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR2,DOMA,CHAR2,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR20,DOMA,CHAR20,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR200,DOMA,CHAR200,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR21,DOMA,CHAR21,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR22,DOMA,CHAR22,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR24,DOMA,CHAR24,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR240,DOMA,CHAR240,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR25,DOMA,CHAR25,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR251,DOMA,CHAR251,SAP_BASIS,BC-CTS-ORG,DEPRECATED,0,
TIER1,DOMA,CHAR255,DOMA,CHAR255,SAP_BASIS,BC-DWB-DIC-AC,DEPRECATED,0,
TIER1,DOMA,CHAR256,DOMA,CHAR256,SAP_BASIS,BC-DWB-DIC-AC,DEPRECATED,0,
TIER1,DOMA,CHAR26,DOMA,CHAR26,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR260,DOMA,CHAR260,SAP_BASIS,BC-CUS-TOL-IMG,DEPRECATED,0,
TIER1,DOMA,CHAR27,DOMA,CHAR27,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR28,DOMA,CHAR28,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR3,DOMA,CHAR3,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR300,DOMA,CHAR300,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR32,DOMA,CHAR32,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR33,DOMA,CHAR33,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR34,DOMA,CHAR34,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR35,DOMA,CHAR35,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR36,DOMA,CHAR36,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR37,DOMA,CHAR37,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR38,DOMA,CHAR38,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR4,DOMA,CHAR4,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR40,DOMA,CHAR40,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR42,DOMA,CHAR42,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR45,DOMA,CHAR45,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR46,DOMA,CHAR46,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR47,DOMA,CHAR47,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR48,DOMA,CHAR48,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR49,DOMA,CHAR49,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR5,DOMA,CHAR5,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR50,DOMA,CHAR50,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR55,DOMA,CHAR55,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR56,DOMA,CHAR56,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR58,DOMA,CHAR58,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR6,DOMA,CHAR6,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR60,DOMA,CHAR60,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR61,DOMA,CHAR61,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR64,DOMA,CHAR64,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR65,DOMA,CHAR65,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR66,DOMA,CHAR66,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR7,DOMA,CHAR7,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR70,DOMA,CHAR70,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR72,DOMA,CHAR72,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR78,DOMA,CHAR78,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR79,DOMA,CHAR79,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR8,DOMA,CHAR8,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR80,DOMA,CHAR80,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR81,DOMA,CHAR81,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR9,DOMA,CHAR9,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR90,DOMA,CHAR90,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,CHAR93,DOMA,CHAR93,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,DATS,DOMA,DATS,SAP_BASIS,BC-CCM-ADK,DEPRECATED,N,,DOMA,DATUM,DOMA,DATUM
TIER1,DOMA,DATS,DOMA,DATS,SAP_BASIS,BC-CCM-ADK,DEPRECATED,N,,DOMA,XSDDATE_D,DOMA,XSDDATE_D
TIER1,DOMA,TEXT1,DOMA,TEXT1,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT10,DOMA,TEXT10,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT100,DOMA,TEXT100,SAP_BASIS,BC-DWB-DIC-AC,DEPRECATED,0,
TIER1,DOMA,TEXT11,DOMA,TEXT11,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT12,DOMA,TEXT12,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT120,DOMA,TEXT120,SAP_BASIS,BC-ABA-LA,DEPRECATED,0,
TIER1,DOMA,TEXT128,DOMA,TEXT128,SAP_BASIS,BC-CCM-BTC,DEPRECATED,0,
TIER1,DOMA,TEXT132,DOMA,TEXT132,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT140,DOMA,TEXT140,SAP_BASIS,BC-SRV-ADR,DEPRECATED,0,
TIER1,DOMA,TEXT15,DOMA,TEXT15,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
